time,V(1),V(2),V(3),I(V1),I(R1),I(L1),I(C1)
4.800000e-05,1.000000e+00,7.487176e-01,8.176815e-01,-2.512824e-02,2.512824e-02,2.512824e-02,1.610178e+00
4.900000e-05,1.000000e+00,7.495286e-01,8.427692e-01,-2.504714e-02,2.504714e-02,2.504714e-02,1.660410e+00
5.000000e-05,1.000000e+00,7.505807e-01,8.677638e-01,-2.494193e-02,2.494193e-02,2.494193e-02,1.710480e+00
5.100000e-05,1.000000e+00,7.518705e-01,8.926412e-01,-2.481295e-02,2.481295e-02,2.481295e-02,1.760340e+00
5.200000e-05,1.000000e+00,7.533943e-01,9.173780e-01,-2.466057e-02,2.466057e-02,2.466057e-02,1.809943e+00
5.300000e-05,1.000000e+00,7.551482e-01,9.419508e-01,-2.448518e-02,2.448518e-02,2.448518e-02,1.859241e+00
5.400000e-05,1.000000e+00,7.571282e-01,9.663370e-01,-2.428718e-02,2.428718e-02,2.428718e-02,1.908189e+00
5.500000e-05,1.000000e+00,7.593302e-01,9.905141e-01,-2.406698e-02,2.406698e-02,2.406698e-02,1.956741e+00
5.600000e-05,1.000000e+00,7.617497e-01,1.014460e+00,-2.382503e-02,2.382503e-02,2.382503e-02,2.004853e+00
5.700000e-05,1.000000e+00,7.643821e-01,1.038154e+00,-2.356179e-02,2.356179e-02,2.356179e-02,2.052482e+00
5.800000e-05,1.000000e+00,7.672227e-01,1.061573e+00,-2.327773e-02,2.327773e-02,2.327773e-02,2.099585e+00
5.900000e-05,1.000000e+00,7.702666e-01,1.084699e+00,-2.297334e-02,2.297334e-02,2.297334e-02,2.146120e+00
6.000000e-05,1.000000e+00,7.735088e-01,1.107510e+00,-2.264912e-02,2.264912e-02,2.264912e-02,2.192047e+00
6.100000e-05,1.000000e+00,7.769440e-01,1.129987e+00,-2.230560e-02,2.230560e-02,2.230560e-02,2.237326e+00
6.200000e-05,1.000000e+00,7.805669e-01,1.152112e+00,-2.194331e-02,2.194331e-02,2.194331e-02,2.281918e+00
6.300000e-05,1.000000e+00,7.843721e-01,1.173865e+00,-2.156279e-02,2.156279e-02,2.156279e-02,2.325786e+00
6.400000e-05,1.000000e+00,7.883540e-01,1.195229e+00,-2.116460e-02,2.116460e-02,2.116460e-02,2.368894e+00
6.500000e-05,1.000000e+00,7.925067e-01,1.216186e+00,-2.074933e-02,2.074933e-02,2.074933e-02,2.411207e+00
6.600000e-05,1.000000e+00,7.968246e-01,1.236719e+00,-2.031754e-02,2.031754e-02,2.031754e-02,2.452689e+00
6.700000e-05,1.000000e+00,8.013016e-01,1.256813e+00,-1.986984e-02,1.986984e-02,1.986984e-02,2.493308e+00
6.800000e-05,1.000000e+00,8.059318e-01,1.276451e+00,-1.940682e-02,1.940682e-02,1.940682e-02,2.533032e+00
6.900000e-05,1.000000e+00,8.107089e-01,1.295619e+00,-1.892911e-02,1.892911e-02,1.892911e-02,2.571831e+00
7.000000e-05,1.000000e+00,8.156269e-01,1.314302e+00,-1.843731e-02,1.843731e-02,1.843731e-02,2.609675e+00
7.100000e-05,1.000000e+00,8.206793e-01,1.332487e+00,-1.793207e-02,1.793207e-02,1.793207e-02,2.646536e+00
7.200000e-05,1.000000e+00,8.258598e-01,1.350160e+00,-1.741402e-02,1.741402e-02,1.741402e-02,2.682388e+00
7.300000e-05,1.000000e+00,8.311620e-01,1.367309e+00,-1.688380e-02,1.688380e-02,1.688380e-02,2.717204e+00
7.400000e-05,1.000000e+00,8.365795e-01,1.383922e+00,-1.634205e-02,1.634205e-02,1.634205e-02,2.750960e+00
7.500000e-05,1.000000e+00,8.421056e-01,1.399987e+00,-1.578944e-02,1.578944e-02,1.578944e-02,2.783633e+00
7.600000e-05,1.000000e+00,8.477338e-01,1.415496e+00,-1.522662e-02,1.522662e-02,1.522662e-02,2.815202e+00
7.700000e-05,1.000000e+00,8.534575e-01,1.430436e+00,-1.465425e-02,1.465425e-02,1.465425e-02,2.845645e+00
7.800000e-05,1.000000e+00,8.592701e-01,1.444800e+00,-1.407299e-02,1.407299e-02,1.407299e-02,2.874945e+00
7.900000e-05,1.000000e+00,8.651648e-01,1.458578e+00,-1.348352e-02,1.348352e-02,1.348352e-02,2.903083e+00
